State,City,Vulnerability Management,Vulnerability Analyst,Vulnerability Specialist,Incident Specialist,Incident Responder,Incident Analyst,Malware analyst,Reverse engineer,Threat analyst,Identity and access management specialist,SOC analyst,SOC engineer,Application specialist,Application engineer,Application Support,Server administrator,PEN tester,Systems investigator,City Total,State Total
California,La Mirada,246,43,85,1,1,37,0,49,2,9,23,1,10,0,2,69,62,0,640,33165
New York,Yonkers,343,31,27,0,2,4,0,59,3,17,8,26,6,0,7,2,102,3,640,6433
California,Richmond,106,29,11,0,100,2,0,1,2,10,22,68,168,0,3,46,71,0,639,59641
New Jersey,Elizabeth,364,45,27,0,2,5,0,0,3,19,9,25,10,0,8,2,114,3,636,3126
Texas,Hurst,166,27,13,0,181,2,0,31,1,3,4,19,9,0,5,92,82,0,635,12415
Texas,Arlington,166,27,12,0,181,2,0,31,1,3,4,19,9,0,5,92,82,0,634,1415
California,Huntington Park,189,35,54,1,128,35,0,1,2,9,19,37,6,0,2,66,46,0,630,30471
California,Gardena,197,33,62,1,123,34,0,1,2,9,17,31,6,0,2,62,47,0,627,25835
Texas,Duncanville,164,24,11,0,173,25,0,32,2,3,4,20,8,0,4,82,74,0,626,6917
California,Rosemead,184,35,51,1,134,38,0,1,2,9,17,31,6,0,2,65,45,0,621,60612
California,Torrance,193,33,62,1,120,32,0,1,2,9,17,31,6,0,2,60,46,0,615,75071
California,West Covina,174,23,64,1,113,30,0,14,2,6,19,21,4,0,66,42,36,0,615,80195
California,Vallejo,90,28,12,0,97,2,0,19,2,7,21,67,158,0,2,42,67,0,614,77986
California,Monterey Park,184,35,51,1,131,35,0,1,2,9,17,31,6,0,2,63,44,0,612,42702
California,La Puente,188,27,66,1,127,31,0,14,2,8,21,29,5,0,1,49,42,0,611,33776
California,Buena Park,230,53,86,1,1,34,0,48,2,9,21,1,9,0,2,64,49,0,610,8427
California,Lodi,455,26,68,0,1,1,0,1,0,3,8,1,6,0,3,8,29,0,610,36770
California,Norwalk,247,46,85,1,1,41,0,1,2,10,24,1,9,0,3,71,61,0,603,46142
California,Cypress,231,55,84,1,1,32,0,48,2,8,21,1,9,0,2,61,46,0,602,17124
Washington,Federal Way,104,56,3,0,102,1,0,2,1,12,3,52,180,0,1,40,45,0,602,4008
California,Bellflower,247,44,85,1,1,38,0,1,2,10,22,1,9,0,3,72,62,0,598,5972
California,Lakewood,246,46,85,1,1,36,0,1,2,10,22,1,9,0,3,72,60,0,595,35151
California,Whittier,239,45,85,1,1,42,0,1,2,10,22,1,9,0,2,72,62,0,594,81483
Washington,Auburn,102,56,3,0,103,1,0,2,1,11,2,51,179,0,1,39,43,0,594,594
Florida,Tamarac,25,3,429,0,28,8,0,2,1,2,2,6,51,0,1,14,15,0,587,14742
